R,D
0.041666666666666664,0.7550268754141869
0.08333333333333333,0.7450573946534071
0.125,0.7299713415525194
0.16666666666666666,0.7095383627868702
0.20833333333333331,0.6840018351907848
0.25,0.6538330257488181
0.29166666666666663,0.6196429796975887
0.3333333333333333,0.5821312789055075
0.375,0.542046243503761
0.41666666666666663,0.5001501284980623
0.4583333333333333,0.45718793689030773
0.5,0.41386001668004524
0.5416666666666666,0.3707990305924716
0.5833333333333333,0.32855188379193406
0.625,0.2875670151987868
0.6666666666666666,0.24818721033170962
0.7083333333333333,0.21064783384447427
0.75,0.175080140602732
0.7916666666666666,0.14151912419637175
0.8333333333333333,0.10991521062843052
0.875,0.0801490046711323
0.9166666666666666,0.052048243622685904
0.9583333333333333,0.025406100797927395
1.0,0.0
