Theta,Density
0,0.49596235391205884
1,0.49583711426907295
2,0.4954460512657909
3,0.49474023842873677
4,0.4936278402596112
5,0.49195634221465145
6,0.48948280175568953
7,0.48582716596550624
8,0.480403618712598
9,0.4723300622323731
10,0.4603386886475846
11,0.4427999199643243
12,0.41834596532348756
13,0.4427999199643243
14,0.4603386886475846
15,0.4723300622323731
16,0.480403618712598
17,0.48582716596550624
18,0.48948280175568953
19,0.49195634221465145
20,0.4936278402596112
21,0.49474023842873677
22,0.4954460512657909
23,0.49583711426907295
